,Unnamed: 0,type,category,star,review_
58,59,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,저렴하게 잘 구매해서 사용중입니다
59,60,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,좋습니다 잘 쓰고 있어요
60,61,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,좋아요 잘쓰고 있어요 영상 편집하기에도 무리없어요
61,62,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,맥북 산거 진짜 후회한적 한번도없어요    최고 
62,63,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,뭐 디자인으로 사서 간지로 이용하는데 말이필요잇나요 너무좋지   
63,64,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,생각보다 너무 빠르게 배송왔어요  맥북은 처음인데 너무 맘에 드네요  판매자님 감사드립니다
64,65,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,문제없이 잘 도착했고 잘 작동합니다 예쁘고 심플하네요
65,66,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,전에 쓰던 맥제품보다 훨씬 빨라요   넘 좋네요  
66,67,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,맥북인데 좋겠죠  배송도 빠르고 잘받았습니다 
67,68,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,배송도 빠르고 상품도 좋아요 추천합니다
68,69,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,빠른배송 좋아요 편리하게구매했어요
69,70,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,빠른배송좋아요  편리하게구매했어요
70,71,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,넘 설레이며 받았어요  신나요
71,72,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,너무너무 이뻐요
72,73,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,배송빠르고 상품좋네요
73,74,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,맥북 역시 너무너무 예뻐요      만족스럽게 잘 사용하고 있습니다 
74,75,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,예뻐요  좋아요    
75,76,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,m1 맥북은 머 말이 필요없네요  가성비 짱 성능 와따입니다_    
76,77,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,배송빠르고 잘샀어요 맥북은 첨인데 적응중이에요
77,78,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,그냥 너무 이쁨 스페이스 그레이 실물 봐야댐
78,79,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,배송 빠르고 예쁘네요   잘 쓰겠습니다
79,80,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,배송 빠르고 만족합니다
80,81,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,프리스비 광주 지점도 있고 믿을만해서 주문했는데 배송도 빠르고 아주 안전하게 배송해주셨네요 m1 넘 잘 쓰고 있고 대만족해요 
